330i,BMW,Sedan,Nhập khẩu,1.698,1.664,2.0 I4,252,350
320i GT,BMW,Sedan,Nhập khẩu,1.898,1.86,2.0 I4,184,270
328i GT,BMW,Sedan,Nhập khẩu,2.048,2.007,2.0 I4,245,350
420i Gran,BMW,Coupe 4 cửa,Nhập khẩu,2.098,2.056,2.0 I4,180,270
420i Cabrio,BMW,Roadster,Nhập khẩu,2.688,2.634,2.0 I4,184,270
420i,BMW,Coupe,Nhập khẩu,1.889,1.851,2.0 I4,184,270
428i Gran,BMW,Coupe 4 cửa,Nhập khẩu,2.098,2.056,2.0 I4,245,350
428i Cabrio,BMW,Roadster,Nhập khẩu,2.898,2.84,2.0 I4,245,350
520i,BMW,Sedan,Nhập khẩu,2.036,1.995,2.0 I4,184,270
528i,BMW,Sedan,Nhập khẩu,2.499,2.449,2.0 I4,245,350
528i GT,BMW,Sedan,Nhập khẩu,2.798,2.742,2.0 I4,245,350
640i Gran Coupe,BMW,Coupe 4 cửa,Nhập khẩu,3.888,3.81,3.0 I6,320,450
730Li,BMW,Sedan,Nhập khẩu,4.098,4.016,2.0 I4,258,400
740Li,BMW,Sedan,Nhập khẩu,4.868,4.77,3.0 I6,326,450
Z4 sDrive 20i,BMW,Roadster,Nhập khẩu,2.594,2.542,2.0 I4,184,270
X1 sDrive 20i,BMW,SUV,Nhập khẩu,1.775,1.739,2.0 I4,192,280
X3 xDrive 20i,BMW,SUV,Nhập khẩu,2.063,2.021,2.0 I4,184,270
X3 xDrive 28i,BMW,SUV,Nhập khẩu,2.479,2.429,2.0 I4,245,350
X4 xDrive 28i,BMW,SUV-Coupe,Nhập khẩu,2.798,2.742,2.0 I4,245,350
X5 xDrive 30d,BMW,SUV,Nhập khẩu,3.568,3.496,3.0 I6,258,560
X5 xDrive 35i,BMW,SUV,Nhập khẩu,3.788,3.712,3.0 I6,306,400
X6 xDrive 30d,BMW,SUV-Coupe,Nhập khẩu,3.389,3.297,3.0 I6,258,560
Phantom,Rolls-Royce,Sedan,Nhập khẩu,26,25.48,6.7 V12,720,453
Phantom Drophead,Rolls-Royce,Roadster,Nhập khẩu,30.2,29.596,6.7 V12,720,453
Phantom Coupé,Rolls-Royce,Coupé,Nhập khẩu,28,27.44,6.7 V12,720,453
Phantom EWB,Rolls-Royce,Sedan,Nhập khẩu,30,29.4,6.7 V12,720,453
Ghost Series II,Rolls-Royce,Sedan,Nhập khẩu,17,16.66,6.6 V12,780,563
Ghost Series II EWB,Rolls-Royce,sedan,Nhập khẩu,19,18.62,6.6 V12,780,563
Wraith,Rolls-Royce,coupe,Nhập khẩu,18,17.64,6.6 V12,800,623
Huracan LP580-2,Lamborghini,Siêu xe,Nhập khẩu,14.388,14.1,5.2 V10,580,540
Huracan LP610-4,Lamborghini,Siêu xe,Nhập khẩu,16,15.68,5.2 V10,610,560
Aventador LP700-4,Lamborghini,Siêu xe,Nhập khẩu,26,25.464,6.5 V12,700,690
Mazda2 sedan,Mazda,Sedan,Lắp ráp,580,568,1.5 I4 Skyactiv,109,141
Mazda2 hatchback,Mazda,Hatchback,Lắp ráp,635,616,1.5 I4 Skyactiv,109,141
Mazda3 1.5AT HB,Mazda,Hatchback,Lắp ráp,705,690,1.5 I4 Skyactiv,110,144
Mazda3 1.5AT SD,Mazda,Sedan,Lắp ráp,685,670,1.5 I4 Skyactiv,110,144
Mazda3 2.0AT SD,Mazda,Sedan,Lắp ráp,829,790,2.0 I4 Skyactiv,153,200
Mazda6 2.0AT,Mazda,Sedan,Lắp ráp,975,940,2.0 I4 Skyactiv,153,200
Mazda6 2.5AT Premium,Mazda,Sedan,Lắp ráp,1.175,1.14,2.5 I4 Skyactiv,185,250
CX-5 2.0AT,Mazda,SUV,Lắp ráp,959,919,2.0 i4 Skyactiv-G,153,200
CX-5 2.5AT 2WD,Mazda,SUV,Lắp ráp,990,958,2.5 i4 Skyactiv-G,185,250
